,City,Clouds,Country,Date,Humidity,Lat,Lon,Max Temp,Winds
0,Nikolskoye,0,RU,7/23/2018,94,59.7,30.79,69.8,4.47
1,Sitka,8,US,7/23/2018,49,37.17,-99.65,93.7,7.49
2,Mataura,48,NZ,7/23/2018,100,-46.19,168.86,35.02,4.47
3,Praia da Vitoria,75,PT,7/23/2018,94,38.73,-27.07,71.6,15.66
4,Quang Ngai,76,VN,7/23/2018,75,15.12,108.8,78.76,3.13
5,Mvuma,44,ZW,7/23/2018,90,-19.28,30.53,51.22,7.72
6,Dikson,88,RU,7/23/2018,91,73.51,80.55,47.17,12.64
7,Comodoro Rivadavia,0,AR,7/23/2018,74,-45.87,-67.48,53.6,21.92
8,Bluff,0,AU,7/23/2018,81,-23.58,149.07,42.22,4.03
9,Cape Town,0,ZA,7/23/2018,72,-33.93,18.42,59,10.29
10,Cabo San Lucas,40,MX,7/23/2018,46,22.89,-109.91,98.6,9.17
11,Barrow,0,AR,7/23/2018,54,-38.31,-60.23,40.69,4.7
12,Jumla,48,NP,7/23/2018,92,29.28,82.18,38.44,3.02
13,Clyde River,75,CA,7/23/2018,80,70.47,-68.59,37.4,33.33
14,Kapaa,90,US,7/23/2018,100,22.08,-159.32,82.4,11.41
15,Rikitea,80,PF,7/23/2018,100,-23.12,-134.97,74.35,18.23
16,Georgetown,75,GY,7/23/2018,66,6.8,-58.16,89.6,11.41
17,Punta Arenas,90,CL,7/23/2018,70,-53.16,-70.91,44.6,12.75
18,Ushuaia,75,AR,7/23/2018,91,-54.81,-68.31,44.6,5.82
19,Goba,32,ET,7/23/2018,95,7.01,39.97,50.14,3.13
20,Lebu,75,ET,7/23/2018,93,8.96,38.73,59,4.7
21,Kavieng,48,PG,7/23/2018,100,-2.57,150.8,81.19,10.4
22,Tasiilaq,0,GL,7/23/2018,50,65.61,-37.64,51.8,8.05
23,Teahupoo,20,PF,7/23/2018,61,-17.83,-149.27,82.4,6.93
24,Vila Velha,0,BR,7/23/2018,61,-3.71,-38.6,82.4,17.22
25,Butaritari,36,KI,7/23/2018,100,3.07,172.79,82.54,5.03
26,Hobart,75,AU,7/23/2018,71,-42.88,147.33,50,5.82
27,Khatanga,0,RU,7/23/2018,72,71.98,102.47,40.69,3.13
28,Hermanus,20,ZA,7/23/2018,35,-34.42,19.24,70.75,8.16
29,College,1,US,7/23/2018,33,64.86,-147.8,77,3.36
30,Komsomolskiy,0,RU,7/23/2018,63,67.55,63.78,65.62,3.69
31,Vaini,92,IN,7/23/2018,99,15.34,74.49,70.39,7.72
32,Khandbari,0,NP,7/23/2018,66,27.38,87.21,44.56,1.68
33,Hofn,90,IS,7/23/2018,81,64.25,-15.21,51.8,6.93
34,Jamestown,0,AU,7/23/2018,91,-33.21,138.6,46.99,12.41
35,Port Moresby,90,PG,7/23/2018,100,-9.47,147.16,71.6,2.24
36,Tuktoyaktuk,20,CA,7/23/2018,53,69.44,-133.03,77,8.05
37,Omboue,48,GA,7/23/2018,100,-1.57,9.26,72.82,11.52
38,Tiksi,68,RU,7/23/2018,80,71.64,128.87,41.41,10.63
39,Nuuk,40,GL,7/23/2018,62,64.17,-51.74,53.6,6.93
40,Onega,76,RU,7/23/2018,73,63.91,38.09,68.59,4.92
41,Oil City,90,US,7/23/2018,73,41.43,-79.71,77,11.41
42,Khasan,8,RU,7/23/2018,96,42.43,130.64,69.85,2.13
43,Preobrazheniye,0,RU,7/23/2018,90,42.9,133.91,73.27,2.35
44,Hitchin,0,GB,7/23/2018,44,51.95,-0.28,80.6,8.05
